strain	skewi
05LoS16R3_25.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4283879212
11LoS11_3.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.5280081947
11LoS11_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4786792076
11LoS11_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.5541466503
11LoS11_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.6628054506
11LoS11_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.5620152003
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.6568435211
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.5372197010
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.6669015053
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.5328726777
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.6225587576
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.5088741149
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.6649017608
11LoS11_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.5828826291
11LoS11_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.6206917200
11LoS11_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.6022667339
11LoS18_3.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3895419585
11LoS18_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3224319489
11LoS18_3.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4299092653
11LoS18_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4242540059
11LoS18_3.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3197100388
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4437033313
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3158974804
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4670615053
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3041887752
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4319440373
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3023608261
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4440376122
11LoS18_3.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3360612529
11LoS18_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4613093192
11LoS18_3.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4356096357
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4608691453
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4739986989
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4433020461
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4455109143
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4739986417
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4793126608
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4118288155
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4630912116
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4471712609
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4496440683
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4801810022
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4611374569
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4310678951
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4649988466
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4432805235
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4789218027
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4478108918
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4607426951
11LoS18_3.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4539130990
11LoS34_10.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3813493427
11LoS34_10.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3256130756
11LoS34_10.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4611843189
11LoS34_10.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4227426682
11LoS34_10.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3007265628
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4644733502
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3226867485
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4358088205
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2792089936
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4451530134
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3150126516
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4563332162
11LoS34_10.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3444024273
11LoS34_10.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4341774020
11LoS34_10.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4067968451
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4449428578
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4621794746
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4407318499
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4403917561
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4609567212
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4675843202
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4402578516
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4439396417
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4397363724
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4484820181
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4650814899
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4439619312
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4423837375
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4149497813
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4307081608
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4535859844
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4105375791
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4335631716
11LoS34_10.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4453390479
11LoS34_2.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3926306066
11LoS34_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.2972522817
11LoS34_2.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4500904995
11LoS34_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4484313724
11LoS34_2.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3344856958
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4508221124
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3147248709
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4562099956
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2932778543
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4498190023
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3168080070
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4218570883
11LoS34_2.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3154757356
11LoS34_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4185142950
11LoS34_2.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3926000972
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4608307456
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4679859901
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4558157133
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4581056044
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4692014811
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4854877398
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4209815783
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4317172276
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4618830116
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4495170823
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4516892164
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4561563867
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4409504452
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4344820053
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4555820029
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4350337573
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4427218141
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4644185424
11LoS34_2.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4736042894
11LoS34_4.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4107224633
11LoS34_4.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3114190887
11LoS34_4.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4629202670
11LoS34_4.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4676151420
11LoS34_4.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3476510480
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4637758860
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3290137830
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4871587251
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3340172447
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4711669961
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3310250178
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4788984164
11LoS34_4.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3811640457
11LoS34_4.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4569517770
11LoS34_4.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4336511198
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4851010411
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4918588853
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4832990986
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4780755813
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4918588256
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.5153724069
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4600454692
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.5096513262
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4973422500
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.5129213225
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.5251217782
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.5187325437
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.5052882606
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4840877786
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.5025528563
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4895856225
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4954489738
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.5110159194
11LoS34_4.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.5262997287
11LoS34_6.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.4012747160
11LoS34_6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3196503606
11LoS34_6.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4443624331
11LoS34_6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4672454757
11LoS34_6.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3279348194
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4694953927
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3264460152
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4407885038
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2914304158
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4391953503
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3114515504
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4281649355
11LoS34_6.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3297362147
11LoS34_6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4199619661
11LoS34_6.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.3912689125
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4264226916
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4341803397
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4127492756
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4109832711
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4341802866
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4445138624
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4259417795
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4731833067
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4224182210
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4436669631
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4520216217
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4453337297
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4373989394
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4469960332
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4371137729
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4770771206
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4280776105
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4386731781
11LoS34_6.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4454673326
11LoS7_1.noSI.rot__with__tRNA-Arg_symICE__from__B_diazoefficiens_NK6	0.3893929824
11LoS7_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.3325833271
11LoS7_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.4734693199
11LoS7_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4910813517
11LoS7_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3876958040
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4487465053
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3205332181
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4875110327
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.3230773827
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4570746042
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3352653823
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4526176721
11LoS7_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3494302235
11LoS7_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4338222179
11LoS7_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4090323769
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4867291117
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4943576766
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4959862797
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.5020359328
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4943576190
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.5006298039
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4476864083
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4628285605
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4569363050
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4769129952
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumJ5	0.4816509852
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicum_SEMIA_5079	0.4644893727
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1253	0.4623203444
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM1417_Bra1417	0.4529648657
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__B_sp._WSM471	0.4759755526
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__CW1	0.4371102117
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__inoc4-2	0.4480591571
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__USDA110	0.4605528747
11LoS7_1.noSI.rot__with__tRNA-Val_symICE__from__USDA6	0.4776599734
13LoS100_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13	0.4388823396
13LoS100_1.noSI.rot__with__tRNA-Gln_symICE__from__LMTR_13__wrongdir	0.3423988226
13LoS100_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael	0.4322729474
13LoS100_1.noSI.rot__with__tRNA-Glu_symICE__from__B_elkanii_USDA_76_Brael__wrongdir	0.3257015006
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3	0.4549325197
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__11LoS11_3__wrongdir	0.3218974226
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1	0.4200550815
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__13LoS78_1__wrongdir	0.2761036210
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage	0.4515679218
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_genosp._SA-4_str._CB756_Brage__wrongdir	0.3262637341
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001	0.4577208180
13LoS100_1.noSI.rot__with__tRNA-Ile_symICE__from__B_sp._CCGE-LA001__wrongdir	0.3406016531
13LoS100_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2	0.4514873663
13LoS100_1.noSI.rot__with__tRNA-Pro_symICE__from__inoc2__wrongdir	0.4211352745
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS18_3	0.4116617869
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_10	0.4194310400
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_2	0.4178336355
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_4	0.4148993987
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__11LoS34_6	0.4206191799
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS28_1	0.4247464394
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_1	0.4116558482
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__13LoS70_2	0.4397606853
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_diazoefficiensUSDA_122	0.4016910224
13LoS100_1.noSI.rot__with__tRNA-Val_symICE__from__B_japonicumE109	0.4128912324
